main[2016-03-29 14:17:04242] || INFO || ClassPathXmlApplicationContext || Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4d630ab9: startup date [Tue Mar 29 14:17:04 CST 2016]; root of context hierarchy
main[2016-03-29 14:17:04289] || INFO || XmlBeanDefinitionReader || Loading XML bean definitions from class path resource [applicationContext.xml]
main[2016-03-29 14:18:48227] || INFO || ClassPathXmlApplicationContext || Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@5b7ee8b8: startup date [Tue Mar 29 14:18:48 CST 2016]; root of context hierarchy
main[2016-03-29 14:18:48258] || INFO || XmlBeanDefinitionReader || Loading XML bean definitions from class path resource [WebContent/WEB-INF/applicationContext.xml]
main[2016-03-29 14:25:50325] || INFO || ClassPathXmlApplicationContext || Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@394a8cd1: startup date [Tue Mar 29 14:25:50 CST 2016]; root of context hierarchy
main[2016-03-29 14:25:50372] || INFO || XmlBeanDefinitionReader || Loading XML bean definitions from class path resource [config/applicationContext.xml]
main[2016-03-29 14:27:57162] || INFO || ClassPathXmlApplicationContext || Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4d630ab9: startup date [Tue Mar 29 14:27:57 CST 2016]; root of context hierarchy
main[2016-03-29 14:27:57209] || INFO || XmlBeanDefinitionReader || Loading XML bean definitions from class path resource [config/applicationContext.xml]
main[2016-03-29 14:36:05752] || INFO || ClassPathXmlApplicationContext || Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4d630ab9: startup date [Tue Mar 29 14:36:05 CST 2016]; root of context hierarchy
main[2016-03-29 14:36:05799] || INFO || XmlBeanDefinitionReader || Loading XML bean definitions from class path resource [config/applicationContext.xml]
main[2016-03-29 14:36:05971] || INFO || ClassPathBeanDefinitionScanner || JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
main[2016-03-29 14:36:05971] || INFO || ClassPathBeanDefinitionScanner || JSR-330 'javax.inject.Named' annotation found and supported for component scanning
main[2016-03-29 14:36:07562] || INFO || AutowiredAnnotationBeanPostProcessor || JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
main[2016-03-29 14:36:07580] || INFO || DefaultListableBeanFactory || Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@19d8f162: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,logonDao,logonService,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.aop.aspectj.AspectJPointcutAdvisor#0,org.springframework.aop.aspectj.AspectJPointcutAdvisor#1,org.springframework.aop.aspectj.AspectJPointcutAdvisor#2,aopRiZhi,myRiZhi,logonAction]; root of factory hierarchy
main[2016-03-29 14:36:07936] || INFO || MyLog || com.miao.logon.service.LogonServiceImp 类的 logon 方法开始执行 ***Start***
main[2016-03-29 14:36:07951] || INFO || MyLog || com.miao.logon.dao.LogonDaoImp 类的 logon 方法开始执行 ***Start***
main[2016-03-29 14:36:07967] || INFO || MyLog || com.miao.logon.dao.LogonDaoImp 类的 logon 方法执行结束 ***End***
main[2016-03-29 14:36:07967] || INFO || MyLog || com.miao.logon.service.LogonServiceImp 类的 logon 方法执行结束 ***End***
main[2016-03-29 14:43:33733] || INFO || ClassPathXmlApplicationContext || Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@394a8cd1: startup date [Tue Mar 29 14:43:33 CST 2016]; root of context hierarchy
main[2016-03-29 14:43:33779] || INFO || XmlBeanDefinitionReader || Loading XML bean definitions from class path resource [config/applicationContext.xml]
main[2016-03-29 14:43:33935] || INFO || ClassPathBeanDefinitionScanner || JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
main[2016-03-29 14:43:33935] || INFO || ClassPathBeanDefinitionScanner || JSR-330 'javax.inject.Named' annotation found and supported for component scanning
main[2016-03-29 14:43:34981] || INFO || AutowiredAnnotationBeanPostProcessor || JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
main[2016-03-29 14:43:3513] || INFO || DefaultListableBeanFactory || Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@530d0eae: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,logonDao,logonService,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.aop.aspectj.AspectJPointcutAdvisor#0,org.springframework.aop.aspectj.AspectJPointcutAdvisor#1,org.springframework.aop.aspectj.AspectJPointcutAdvisor#2,aopRiZhi,myRiZhi,logonAction]; root of factory hierarchy
main[2016-03-29 14:43:35340] || INFO || MyLog || com.miao.logon.service.LogonServiceImp 类的 logon 方法开始执行 ***Start***
main[2016-03-29 14:43:35356] || INFO || MyLog || com.miao.logon.dao.LogonDaoImp 类的 logon 方法开始执行 ***Start***
main[2016-03-29 14:43:35356] || INFO || MyLog || com.miao.logon.dao.LogonDaoImp 类的 logon 方法执行结束 ***End***
main[2016-03-29 14:43:35356] || INFO || MyLog || com.miao.logon.service.LogonServiceImp 类的 logon 方法执行结束 ***End***
